code,sh.600028,sh.600030,sh.600031,sh.600036,sh.600048,sh.600050,sh.600089,sh.600104,sh.600150,sh.600276,sh.600309,sh.600406,sh.600436,sh.600438,sh.600519,sh.600690,sh.600809,sh.600887,sh.600900,sh.600941,sh.601012,sh.601088,sh.601166,sh.601225,sh.601288,sh.601318,sh.601328,sh.601390,sh.601398,sh.601601,sh.601628,sh.601633,sh.601658,sh.601668,sh.601669,sh.601728,sh.601857,sh.601888,sh.601899,sh.601919,sh.601985,sh.601988,sh.603259,sh.603288,sh.603501,sh.603986,sh.688012,sh.688041,sh.688111,sh.688981
sh.601012,482.9199999999999,367.77000000000004,88.72,1122.2700000000002,351.05000000000007,587.55,90.99000000000004,99.01999999999998,1344.5100000000004,1789.2599999999998,3500.6699999999996,595.11,11704.14,264.6700000000001,83453.28000000003,717.4199999999997,9682.600000000002,546.6,817.0500000000004,5178.409999999999,0.0,1463.8200000000002,123.78999999999998,536.03,592.4799999999999,1893.6100000000004,443.76000000000005,519.7800000000001,516.81,997.6400000000001,1241.78,561.66,574.8800000000001,540.8899999999998,564.65,506.55000000000007,371.25000000000006,2837.22,85.64999999999999,81.23000000000002,250.26000000000005,585.4300000000001,1683.6999999999998,1377.1500000000003,4718.379999999999,3638.4,7823.439999999999,4410.869999999999,11454.080000000004,2494.4600000000005
sh.601088,1946.74,1059.47,1372.1399999999996,315.26000000000005,1814.87,2051.37,1576.4099999999996,1573.8300000000002,85.14000000000001,309.20000000000005,2036.8499999999997,868.7099999999999,10240.32,1160.3,81989.45999999999,746.4000000000002,8218.779999999999,917.2200000000003,646.77,3714.5899999999992,1463.8200000000002,0.0,1318.1799999999998,927.7900000000001,2056.3,376.2499999999999,1907.58,1983.5999999999992,1980.63,436.65,281.00999999999993,902.1599999999999,2038.6999999999994,2004.71,2028.4699999999996,1970.3700000000006,1835.07,1373.3999999999999,1390.1799999999996,1559.9399999999996,1714.0800000000002,2049.2499999999995,241.33999999999992,197.74,3254.5599999999995,2174.5800000000004,6359.619999999999,2947.050000000001,9990.259999999998,1022.8999999999999
sh.601166,628.5600000000001,240.94,45.59000000000001,976.6299999999999,496.69,733.19,258.23,255.65,1198.8699999999997,1643.62,3355.0299999999997,449.46999999999986,11558.5,152.56,83307.64,571.7799999999999,9536.960000000001,400.96000000000026,671.4100000000002,5032.7699999999995,123.78999999999998,1318.1799999999998,0.0,390.39000000000004,738.1199999999999,1747.97,589.4000000000001,665.4200000000001,662.4499999999999,852.0,1096.14,416.02,720.5200000000002,686.5300000000002,710.29,652.19,516.8900000000001,2691.5800000000004,61.33000000000004,236.91000000000008,395.9000000000001,731.0700000000002,1538.0600000000004,1231.5099999999998,4572.74,3492.7599999999993,7677.800000000001,4265.2300000000005,11308.44,2348.8199999999997
sh.601225,1018.95,195.63000000000008,444.3500000000001,586.2400000000001,887.0799999999999,1123.5800000000002,648.6200000000001,646.0399999999998,808.48,1253.2299999999998,2964.639999999999,44.690000000000026,11168.109999999999,217.71,82917.24999999999,158.6,9146.57,47.27999999999999,280.85999999999996,4642.38,536.03,927.7900000000001,390.39000000000004,0.0,1128.5100000000004,1357.58,979.79,1055.81,1052.8400000000001,459.53,705.7500000000001,71.05000000000003,1110.9099999999999,1076.9200000000003,1100.68,1042.5800000000002,907.2800000000003,2301.189999999999,462.38999999999993,632.15,786.2900000000001,1121.4599999999998,1147.6699999999998,841.1199999999999,4182.35,3102.37,7287.410000000002,3874.8400000000006,10918.050000000001,1958.43
sh.601288,109.55999999999995,996.8299999999999,684.16,1714.75,241.42999999999998,7.890000000000006,479.88999999999993,482.4699999999999,1936.9900000000007,2381.7399999999993,4093.1500000000015,1187.59,12296.619999999997,895.9999999999999,84045.76000000001,1309.9,10275.079999999994,1139.08,1409.5300000000004,5770.889999999999,592.4799999999999,2056.3,738.1199999999999,1128.5100000000004,0.0,2486.0899999999997,148.72000000000003,72.66,75.67000000000003,1590.1200000000003,1834.2600000000007,1154.14,14.459999999999997,47.9,27.849999999999994,85.93000000000002,221.23000000000002,3429.700000000001,666.1199999999998,496.3600000000001,342.21999999999986,4.679999999999998,2276.1799999999994,1969.63,5310.859999999999,4230.88,8415.92,5003.35,12046.56,3086.94
sh.601318,2376.5299999999997,1489.2600000000002,1801.9300000000005,771.3399999999999,2244.6600000000008,2481.1600000000003,2006.2,2003.6199999999994,484.0700000000001,159.6500000000001,1607.06,1298.4999999999995,9810.530000000004,1590.09,81559.67,1176.19,7788.990000000001,1347.01,1076.5600000000002,3284.800000000001,1893.6100000000004,376.2499999999999,1747.97,1357.58,2486.0899999999997,0.0,2337.370000000001,2413.3900000000003,2410.42,894.89,575.3899999999999,1331.9500000000003,2468.4899999999993,2434.5000000000005,2458.26,2400.16,2264.8600000000006,916.3700000000001,1819.97,1989.73,2143.8700000000003,2479.0399999999995,150.92000000000002,459.7099999999999,2824.7699999999995,1744.7900000000004,5929.830000000001,2517.26,9560.470000000001,613.15
sh.601328,36.17,848.1099999999998,535.44,1566.03,90.46000000000001,143.7899999999999,331.16999999999996,333.74999999999994,1788.2700000000004,2233.02,3944.4300000000003,1038.87,12147.900000000005,747.2800000000001,83897.04000000001,1161.1799999999998,10126.359999999997,990.36,1260.8100000000002,5622.170000000001,443.76000000000005,1907.58,589.4000000000001,979.79,148.72000000000003,2337.370000000001,0.0,73.82000000000002,72.85000000000001,1441.4,1685.54,1005.4199999999997,131.12,97.05000000000001,120.89,61.69999999999999,70.40000000000002,3280.98,517.4,347.64000000000016,193.50000000000003,141.67,2127.46,1820.91,5162.139999999999,4082.1599999999994,8267.2,4854.63,11897.840000000007,2938.2200000000003
sh.601390,36.18000000000002,924.13,611.46,1642.0500000000002,168.73000000000005,65.69,407.19,409.77000000000015,1864.2900000000002,2309.039999999999,4020.4500000000007,1114.89,12223.919999999998,823.3000000000003,83973.06,1237.2,10202.379999999997,1066.38,1336.8299999999997,5698.189999999998,519.7800000000001,1983.5999999999992,665.4200000000001,1055.81,72.66,2413.3900000000003,73.82000000000002,0.0,16.860000000000003,1517.42,1761.5599999999997,1081.4399999999996,50.04999999999999,17.049999999999994,37.12999999999999,15.880000000000006,148.53000000000003,3357.0000000000005,593.4199999999997,423.6599999999999,269.52000000000004,62.83999999999998,2203.4799999999996,1896.93,5238.160000000001,4158.179999999999,8343.22,4930.650000000001,11973.86,3014.2400000000016
sh.601398,25.140000000000015,921.1599999999999,608.49,1639.0800000000004,165.76000000000002,70.73999999999998,404.21999999999997,406.79999999999995,1861.3199999999997,2306.070000000001,4017.4799999999996,1111.92,12220.95,820.3300000000002,83970.08999999998,1234.2300000000002,10199.41,1063.41,1333.8600000000001,5695.220000000003,516.81,1980.63,662.4499999999999,1052.8400000000001,75.67000000000003,2410.42,72.85000000000001,16.860000000000003,0.0,1514.4500000000003,1758.5899999999997,1078.47,56.34,23.710000000000004,44.92999999999998,11.049999999999997,145.56,3354.03,590.45,420.69000000000005,266.55,68.61999999999998,2200.5099999999998,1893.9599999999994,5235.19,4155.21,8340.250000000002,4927.680000000001,11970.890000000003,3011.27
sh.601601,1480.5600000000002,534.3299999999999,905.96,123.5,1348.6899999999996,1585.1899999999998,1110.2300000000002,1107.65,336.36,791.6199999999999,2503.0299999999993,379.3899999999999,10706.500000000002,667.1200000000002,82455.64000000001,214.17000000000002,8684.959999999997,405.49999999999994,209.77,4180.7699999999995,997.6400000000001,436.65,852.0,459.53,1590.1200000000003,894.89,1441.4,1517.42,1514.4500000000003,0.0,146.03999999999996,374.81999999999994,1572.5200000000002,1538.53,1562.2899999999997,1504.19,1368.8899999999999,1839.5800000000002,923.9999999999997,1093.7599999999995,1247.9000000000003,1583.0699999999997,645.2799999999999,327.39,3720.7399999999993,2640.760000000001,6825.799999999998,3413.2300000000014,10456.44,1496.8200000000002
sh.601628,1724.6999999999996,833.4699999999998,1150.0999999999995,118.60000000000005,1592.8300000000006,1829.33,1354.3700000000001,1351.7899999999993,260.5800000000001,494.88999999999993,2258.8900000000003,646.67,10462.359999999997,938.26,82211.5,433.5200000000002,8440.819999999998,695.18,422.58000000000004,3936.6299999999983,1241.78,281.00999999999993,1096.14,705.7500000000001,1834.2600000000007,575.3899999999999,1685.54,1761.5599999999997,1758.5899999999997,146.03999999999996,0.0,609.8399999999998,1816.6599999999999,1782.6700000000005,1806.4299999999996,1748.33,1613.03,1595.44,1168.14,1337.8999999999999,1492.0400000000002,1827.2100000000003,398.8300000000002,110.68999999999996,3476.6000000000004,2396.62,6581.659999999999,3169.0899999999997,10212.300000000001,1234.3
sh.601633,1044.5800000000002,136.4099999999999,469.98,549.43,912.71,1149.2100000000003,674.25,671.6700000000001,782.85,1227.6000000000004,2939.0099999999998,56.22999999999999,11142.479999999996,185.6099999999999,82891.62000000001,109.77999999999994,9120.939999999999,35.42000000000002,259.75,4616.75,561.66,902.1599999999999,416.02,71.05000000000003,1154.14,1331.9500000000003,1005.4199999999997,1081.4399999999996,1078.47,374.81999999999994,609.8399999999998,0.0,1136.5399999999995,1102.5500000000002,1126.31,1068.21,932.9100000000002,2275.560000000001,488.02,657.78,811.9200000000001,1147.0899999999997,1122.0400000000002,815.49,4156.719999999998,3076.7400000000007,7261.779999999998,3849.2100000000005,10892.420000000002,1932.8000000000002
sh.601658,91.96,979.2300000000001,666.56,1697.1499999999999,223.83,9.179999999999998,462.28999999999996,464.8700000000001,1919.3899999999999,2364.1399999999994,4075.55,1169.9900000000002,12279.02,878.4000000000001,84028.16,1292.3000000000004,10257.479999999998,1121.48,1391.9300000000003,5753.29,574.8800000000001,2038.6999999999994,720.5200000000002,1110.9099999999999,14.459999999999997,2468.4899999999993,131.12,50.04999999999999,56.34,1572.5200000000002,1816.6599999999999,1136.5399999999995,0.0,28.479999999999983,14.579999999999995,68.33000000000001,203.62999999999994,3412.1,648.5199999999999,478.76000000000005,324.62,10.51,2258.5799999999995,1952.0299999999997,5293.259999999999,4213.280000000001,8398.32,4985.75,12028.959999999997,3069.3399999999997
sh.601668,54.030000000000015,945.2400000000002,632.57,1663.1599999999999,189.84,43.58000000000001,428.29999999999995,430.88000000000005,1885.3999999999996,2330.15,4041.5599999999995,1136.0000000000005,12245.030000000002,844.4099999999999,83994.17000000001,1258.3100000000002,10223.49,1087.4900000000005,1357.9400000000007,5719.3,540.8899999999998,2004.71,686.5300000000002,1076.9200000000003,47.9,2434.5000000000005,97.05000000000001,17.049999999999994,23.710000000000004,1538.53,1782.6700000000005,1102.5500000000002,28.479999999999983,0.0,17.869999999999987,22.27000000000001,169.63999999999993,3378.109999999999,614.53,444.7700000000001,290.6299999999999,40.86000000000001,2224.59,1918.0400000000002,5259.27,4179.29,8364.330000000002,4951.760000000001,11994.969999999998,3035.3499999999995
sh.601669,81.72999999999995,969.0000000000001,656.3299999999999,1686.92,213.59999999999994,23.589999999999996,452.06,454.64000000000016,1909.1600000000005,2353.91,4065.320000000002,1159.7600000000004,12268.79,868.1700000000002,84017.93,1282.07,10247.25,1111.2499999999998,1381.7000000000003,5743.059999999999,564.65,2028.4699999999996,710.29,1100.68,27.849999999999994,2458.26,120.89,37.12999999999999,44.92999999999998,1562.2899999999997,1806.4299999999996,1126.31,14.579999999999995,17.869999999999987,0.0,55.16,193.39999999999995,3401.870000000001,638.29,468.53000000000003,314.39,25.720000000000006,2248.35,1941.8,5283.029999999999,4203.05,8388.090000000002,4975.519999999999,12018.73,3059.1100000000006
sh.601728,21.399999999999984,910.9,598.23,1628.82,155.49999999999997,81.00000000000001,393.9600000000001,396.5399999999999,1851.0600000000002,2295.8100000000004,4007.2200000000007,1101.66,12210.689999999999,810.0699999999997,83959.83000000002,1223.9699999999996,10189.150000000003,1053.1500000000003,1323.6000000000004,5684.96,506.55000000000007,1970.3700000000006,652.19,1042.5800000000002,85.93000000000002,2400.16,61.69999999999999,15.880000000000006,11.049999999999997,1504.19,1748.33,1068.21,68.33000000000001,22.27000000000001,55.16,0.0,135.29999999999995,3343.7700000000004,580.19,410.43,256.29,78.88,2190.2500000000005,1883.7000000000003,5224.930000000002,4144.950000000001,8329.989999999998,4917.420000000001,11960.630000000005,3001.0099999999993
